code,name,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07
ABW,Aruba (Neth.),1216.84,654.96,542.02,535.42,730.79,958.32,873.32,436.95,498.47,488.62,551.34,724.29,501.37,518.06,575.47,589.34,843.85,579.79,683.35,851.02,1008.97,591.35,569.4,1099.62,1025.88,956.68,554.73,502.57,650.28,852.92,559.9,887.79,502.99,381.42,725.95,926.61,738.16,613.59,1084.52,593.05,826.75,501.56,493.83,594.2,450.49,617.7,549.34,384.93,527.28,989.39,680.29,428.62,546.53,655.13,1114.48,890.15,581.35,691.32,1103.87,482.53,1398.47,1156.81,621.98,491.25,404.16,303.96,790.69,531.86,555.35,315.31,638.34,578.03,817.85,450.11
AFG,Afghanistan,349.26,460.11,385.5,573.08,499.84,393.31,398.74,548.35,291.75,403.99,375.64,377.88,300.84,343.42,384.51,390.93,301.13,421.26,410.44,412,286.76,247.6,497,330.46,366.28,351.28,424.94,376.1,339.42,398.22,417.93,410.79,498.93,373.33,338.27,316.98,392.11,350.27,374.1,374.25,392.27,525.41,486.02,356.51,378.26,366.3,368.1,420.69,407.78,350.35,222.32,205.64,307.55,353.28,319.09,376.73,349.26,341.61,280.96,423.47,335.88,352.62,388.37,335.4,351.32,399.88,316.19,327.31,283.99,437.12,408.16,214.54,321.1,273.08
AGO,Angola,1289.23,1391.96,1263.96,1200,698.86,984.49,1002.15,1317.26,1022.43,1309.01,1328.88,1367.36,1195.71,1251.6,1081.46,1204.52,1187.93,1320.92,1143.37,1329.04,1135.58,1060.76,1120.19,1009.98,1123.78,1081.58,1289.11,1125.07,1041.35,1166.42,886.18,970.34,1101.74,1080.08,1170.75,963.56,1200.97,1096.85,1261.84,1036.61,1214.33,1128.38,1088.7,1213.88,1076.98,1110.39,1015,1126.56,1167.88,1226.6,1058.64,1159.24,1232.6,1135.17,1148.11,1127.38,1218.58,1095.95,1145.27,1141.28,1202.21,1227.49,1056.17,1073.37,1097.88,1086.58,1174.58,1054.15,1124.22,1057.26,1209.98,967.91,1056.18,1177.42
AIA,Anguilla (U.K.),857.09,948.48,691.91,660.28,896.63,830.14,647.35,691.23,821.58,662.59,869.91,933.14,766.15,756.07,659.11,786.98,706.61,601.02,576.62,925.95,884.98,674.62,759.7,851.25,976.42,784.58,725.53,837.54,805.1,992.64,649.57,1069.74,898.41,959.25,980,814.64,820.42,1267.33,680.59,806.3,791.46,682.45,846.51,718.21,528.26,1012.24,980.96,795.23,999.54,1433.03,664.4,683.81,667.51,1009.7,1014.41,1167.61,907.89,974.79,970.21,811.81,1398.42,1265.04,894.26,948.32,938.79,583.3,941.19,1157.92,702.9,708.21,835.62,673.87,904.54,988.43
ALA,ALA,616.89,405.2,612.55,526.66,735.07,508.93,535.3,609.24,542.42,525.17,688.66,640.99,604.13,601.65,513.32,638.51,649.27,773.07,595.76,582.41,630.35,635.11,693.96,644.07,832.09,546.38,579.6,702.05,551.88,592.42,626.74,792.19,486.31,714.51,724.35,592.12,692.07,572.75,687.06,682.14,734.64,622.09,616.3,567.83,615.8,566.8,539.45,594.57,684.02,620.11,691.61,665.02,511.94,526.19,520.92,546.95,561.39,645.2,740.6,593.58,637.79,607.48,858.76,575.08,567.89,579.89,545.46,595.88,457.72,752.85,601.27,594.81,571.7,716.63
ALB,Albania,1052.53,1136.51,1319.22,953.16,1203.82,1557.48,1398.11,1200.86,1308.84,1379.65,1690.7,975.68,1577.16,1733.86,1408.25,1247,1684.72,1146.8,1351.43,1509.93,1626.97,1345.9,1538.19,1375.23,1457.32,1003.51,1427.29,1144.44,1487.02,1628.17,1512.04,1467.82,1012.84,1038.94,1104.86,1289.3,1228.42,1260.86,1079.23,1084.9,963.9,1156.29,1003.07,1091.24,933.5,1414.03,1504.49,976.48,1264.4,1309.07,990.37,1177.74,1261.45,1185.77,1511.65,1496.67,1101.81,1087.14,1113.24,1523.05,1920.28,864.09,1377.37,1401.91,1399.04,1163.76,1553.45,1169.29,1541.76,1268.55,1154.18,1568.25,1237.01,1455.63
AND,Andorra,840.82,1110.87,929.03,805.37,951.95,938.63,907.53,885.76,932.11,1116.96,1146.86,815.2,941.73,1049.05,879.24,1174.14,1001.1,973.35,1049.13,1205.5,1009.18,1196.68,1322.22,968.32,1191.23,952.29,1057.63,1149.62,996.25,1135.37,1095.49,1141.02,1145.95,826.13,951.53,924.45,948.89,1067.06,899.18,809.34,936.4,879.33,1130.4,882.23,871.65,988.11,1243.6,912.9,921.08,953.82,873.41,829.28,1128.69,1151.95,906.78,974.5,787.78,837.32,1157.92,1023.18,993.69,910.42,892.45,1259.03,1135.64,918.93,919.42,969.2,1320.71,989.21,1128.45,947.55,887.19,978.39
ARE,United Arab Emirates,43.85,72.12,56.51,88.61,28.51,88.75,9.89,132.8,35.61,70.82,39.95,32.79,11.91,60.35,97.92,103.39,24.96,31.85,66.59,78.8,25.07,18.39,134.48,21.8,37.85,25.96,81.1,52.12,32.62,49.15,21.39,15.88,126.61,138.47,18.68,14.05,36.37,49.33,118.67,100.51,76.34,33.41,108.87,85.59,12.06,106.15,91.95,146.89,52.8,23.17,10.7,10,44.43,31.21,29.84,35.09,64.92,22.15,32.47,51.15,30.49,21.46,15.4,67.01,38.58,20.28,57.88,47.3,15.19,44.34,69.73,13.1,34.66,43.09
ARG,Argentina,700.57,949.96,765.99,944.09,872.69,807.08,855.35,900.01,869.36,908.91,726,777.27,631.53,869.34,685.74,700.8,759.73,928.72,844.91,837.6,774.83,738.37,890.38,908.17,791.65,834.01,811.76,825.36,834.51,862.6,852.74,840.9,869.82,836.09,1028.83,957.71,906.84,858.11,697.34,731.19,903.95,961.12,954.24,841.39,825.4,688.39,832.43,918.54,852.3,849.51,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
ARM,Armenia,838.37,991.58,753.58,951.17,785.43,904.39,805.28,816.62,787.14,894.98,819.71,675.46,797.82,1243.56,881.99,1027.75,875.91,1021.31,958.78,949.4,775.53,816.15,997.5,868.1,874.77,836.07,862.84,898.72,905.71,913.84,801.53,1015.67,1001.28,950.84,848.22,832.6,912.08,953.19,1111.23,800.59,837.15,835.7,854.48,871.55,919.43,773.16,778.37,828.62,757.14,866.79,692.54,787.67,986.4,943.05,850.64,929.75,820.44,963.41,803.81,987.9,923.3,935.58,866.71,847.15,835.01,918.47,1015.04,728.38,916.37,734.78,818.51,750.68,697.7,886.66
